,Havana,Pop,Camila Camelo & Young Thug,,
,New Rules,Pop,Dua Lipa,,
,Happy,Pop,Pharrell Williams,,
,Uptown Funk,Pop,Mark Ronson & Bruno Mars,,
,Call Me Maybe,Pop,Carly Rae Jepson,,
,Sweet Child O' Mine,Rock/Metal,Guns N' Roses',,
,Smells Like Teen Spirit,Rock/Metal,Nirvana,,
,Hey Jude,Rock/Metal,The Beatles,,
,Numb,Rock/Metal,Linkin' Park,,
,Aku Yang Tersakiti,Rock/Metal,Judika,,
,God's Plan,Hip-Hop/Rap,Drake,,
,I'm Not Afraid,Hip-Hop/Rap,Eminem,,
,Ridin',Hip-Hop/Rap,Chamillionaire & Krayzie Bone,,
,HUMBLE,Hip-Hop/Rap,Kendrick Lamar,,
,Rockstar,Hip-Hop/Rap,Post Malone,,
,Sempurna,Acoustic/Rock,Andra and The BackBone,,
,Gravity,Acoustic/Rock,John Mayer,,
,She Will Be Loved,Acoustic/Rock,Maroon 5,,
,November Rain,Acoustic/Rock,Guns N' Roses',,
,Tak Pernah Padam,Acoustic/Rock,Sandhy Sondoro,,
,Closer,EDM,The Chainsmokers & Halsey,,
,Let Me Love You,EDM,DJ Snake & Justin Bieber,,
,Summer,EDM,Calvin Harris,,
,Don't Let Me Down,EDM,The Chainsmokers & Daya,,
,Lean On,EDM,Major Lazer & DJ Snake & MO,,
,Mr Brightside,Indie,The Killers,,
,Take Me Out,Indie,Franz Ferdinand,,
,The Scientist,Indie,Coldplay,,
,Pumped Up Kicks,Indie,Foster The People,,
,Somebody That I Used To Know,Indie,Goatye & Kimbra,,
